2019,M11,3.5,,
2019,M10,3.6,,
2019,M09,3.5,3.633,3.633
2019,M08,3.7,3.700,
2019,M07,3.7,3.667,
2019,M06,3.7,3.633,3.633
2019,M05,3.6,3.667,
2019,M04,3.6,3.733,
2019,M03,3.8,3.867,3.867
2019,M02,3.8,3.900,
2019,M01,4,3.867,
2018,M12,3.9,3.800,3.800
2018,M11,3.7,3.733,
2018,M10,3.8,3.767,
2018,M09,3.7,3.800,3.800
2018,M08,3.8,3.900,
2018,M07,3.9,3.900,
2018,M06,4,3.900,3.900
2018,M05,3.8,3.900,
2018,M04,3.9,4.000,
2018,M03,4,4.067,4.067
2018,M02,4.1,4.100,
2018,M01,4.1,4.133,
2017,M12,4.1,4.133,4.133
2017,M11,4.2,4.167,
2017,M10,4.1,4.233,
2017,M09,4.2,4.300,4.300
2017,M08,4.4,4.333,
2017,M07,4.3,4.333,
2017,M06,4.3,4.367,4.367
2017,M05,4.4,4.400,
2017,M04,4.4,4.500,
2017,M03,4.4,4.600,4.600
2017,M02,4.7,4.700,
2017,M01,4.7,4.700,
2016,M12,4.7,4.767,4.767
2016,M11,4.7,4.867,
2016,M10,4.9,4.933,
2016,M09,5,4.900,4.900
2016,M08,4.9,4.867,
2016,M07,4.8,4.833,
2016,M06,4.9,4.900,4.900
2016,M05,4.8,4.933,
2016,M04,5,4.967,
2016,M03,5,4.933,4.933
2016,M02,4.9,4.933,
2016,M01,4.9,5.000,
2015,M12,5,5.033,5.033
2015,M11,5.1,5.033,
2015,M10,5,5.033,
2015,M09,5,5.100,5.100
2015,M08,5.1,5.200,
2015,M07,5.2,5.367,
2015,M06,5.3,5.433,5.433
2015,M05,5.6,5.467,
2015,M04,5.4,5.433,
2015,M03,5.4,5.533,5.533
2015,M02,5.5,5.600,
2015,M01,5.7,5.700,
2014,M12,5.6,5.700,5.700
2014,M11,5.8,5.800,
2014,M10,5.7,5.900,
2014,M09,5.9,6.067,6.067
2014,M08,6.1,6.133,
2014,M07,6.2,6.200,
2014,M06,6.1,6.200,6.200
2014,M05,6.3,6.400,
2014,M04,6.2,6.533,
2014,M03,6.7,6.667,6.667
2014,M02,6.7,6.667,
2014,M01,6.6,6.733,
2013,M12,6.7,6.933,6.933
2013,M11,6.9,7.100,
2013,M10,7.2,7.200,
2013,M09,7.2,7.233,7.233
2013,M08,7.2,7.333,
2013,M07,7.3,7.433,
2013,M06,7.5,7.533,7.533
2013,M05,7.5,7.533,
2013,M04,7.6,7.600,
2013,M03,7.5,7.733,7.733
2013,M02,7.7,7.867,
2013,M01,8,7.867,
2012,M12,7.9,7.800,7.800
2012,M11,7.7,7.767,
2012,M10,7.8,7.900,
2012,M09,7.8,8.033,8.033
2012,M08,8.1,8.167,
2012,M07,8.2,8.200,
2012,M06,8.2,8.200,8.200
2012,M05,8.2,8.200,
2012,M04,8.2,8.233,
2012,M03,8.2,8.267,8.267
2012,M02,8.3,8.367,
2012,M01,8.3,8.467,
2011,M12,8.5,8.633,8.633
2011,M11,8.6,8.800,
2011,M10,8.8,8.933,
2011,M09,9,9.000,9.000
2011,M08,9,9.033,
2011,M07,9,9.033,
2011,M06,9.1,9.067,9.067
2011,M05,9,9.033,
2011,M04,9.1,9.033,
2011,M03,9,9.033,9.033
2011,M02,9,9.133,
2011,M01,9.1,9.400,
2010,M12,9.3,9.500,9.500
2010,M11,9.8,9.567,
2010,M10,9.4,9.467,
2010,M09,9.5,9.467,9.467
2010,M08,9.5,9.433,
2010,M07,9.4,9.467,
2010,M06,9.4,9.633,9.633
2010,M05,9.6,9.800,
2010,M04,9.9,9.867,
2010,M03,9.9,9.833,9.833
2010,M02,9.8,9.833,
2010,M01,9.8,9.867,
2009,M12,9.9,9.933,9.933
2009,M11,9.9,9.900,
2009,M10,10,9.800,
2009,M09,9.8,9.633,9.633
2009,M08,9.6,9.533,
2009,M07,9.5,9.467,
2009,M06,9.5,9.300,9.300
2009,M05,9.4,9.033,
2009,M04,9,8.667,
2009,M03,8.7,8.267,8.267
2009,M02,8.3,7.800,
2009,M01,7.8,7.300,
2008,M12,7.3,6.867,6.867
2008,M11,6.8,6.467,
2008,M10,6.5,6.233,
2008,M09,6.1,6.000,6.000
2008,M08,6.1,5.833,
2008,M07,5.8,5.600,
2008,M06,5.6,5.333,5.333
2008,M05,5.4,5.167,
2008,M04,5,5.000,
2008,M03,5.1,5.000,5.000
2008,M02,4.9,4.967,
2008,M01,5,4.900,
2007,M12,5,4.800,4.800
2007,M11,4.7,4.700,
2007,M10,4.7,4.667,
2007,M09,4.7,4.667,4.667
2007,M08,4.6,4.633,
2007,M07,4.7,4.567,
2007,M06,4.6,4.500,4.500
2007,M05,4.4,4.433,
2007,M04,4.5,4.467,
2007,M03,4.4,4.500,4.500
2007,M02,4.5,4.500,
2007,M01,4.6,4.500,
2006,M12,4.4,4.433,4.433
2006,M11,4.5,4.467,
2006,M10,4.4,4.533,
2006,M09,4.5,4.633,4.633
2006,M08,4.7,4.667,
2006,M07,4.7,4.633,
2006,M06,4.6,4.633,4.633
2006,M05,4.6,4.667,
2006,M04,4.7,4.733,
2006,M03,4.7,4.733,4.733
2006,M02,4.8,4.800,
2006,M01,4.7,4.867,
2005,M12,4.9,4.967,4.967
2005,M11,5,5.000,
2005,M10,5,4.967,
2005,M09,5,4.967,4.967
2005,M08,4.9,4.967,
2005,M07,5,5.033,
2005,M06,5,5.100,5.100
2005,M05,5.1,5.167,
2005,M04,5.2,5.267,
2005,M03,5.2,5.300,5.300
2005,M02,5.4,5.367,
2005,M01,5.3,5.367,
2004,M12,5.4,5.433,5.433
2004,M11,5.4,5.433,
