
Price for
Year
Date
LBMA Gold Prices
Timestamp:
2019-12-24 10:31:41 +0000
,USD,GBP,EUR
AM,PM,AM,PM,AM,PM
05-Aug-19,1457.45,1465.25,1199.920,1203.850,1307.920,1310.230
02-Aug-19,1436.05,1441.75,1184.170,1187.280,1294.020,1298.440
01-Aug-19,1406.40,1406.80,1161.120,1161.740,1273.350,1273.290
31-Jul-19,1430.55,1427.55,1175.480,1167.450,1283.200,1281.370
30-Jul-19,1428.45,1425.90,1173.470,1171.950,1281.750,1279.600
29-Jul-19,1418.95,1419.05,1150.910,1157.940,1275.780,1275.300
26-Jul-19,1418.25,1420.40,1140.270,1144.700,1273.020,1275.950
25-Jul-19,1426.35,1416.10,1143.080,1132.880,1281.860,1265.850
24-Jul-19,1425.55,1426.95,1142.290,1142.700,1279.860,1279.690
23-Jul-19,1417.55,1425.55,1140.420,1145.290,1268.140,1277.010
22-Jul-19,1424.45,1427.75,1142.690,1143.630,1270.040,1272.130
19-Jul-19,1437.05,1439.70,1148.060,1148.880,1278.110,1281.480
18-Jul-19,1420.90,1417.45,1139.700,1135.940,1264.740,1263.510
17-Jul-19,1400.80,1410.35,1129.610,1135.610,1249.090,1256.900
16-Jul-19,1416.10,1409.85,1136.850,1134.790,1260.050,1256.880
15-Jul-19,1416.25,1412.40,1127.760,1127.240,1255.930,1253.790
12-Jul-19,1405.60,1407.60,1122.230,1122.140,1248.740,1251.500
11-Jul-19,1423.10,1413.75,1135.060,1126.620,1262.720,1255.830
10-Jul-19,1395.45,1408.30,1117.340,1126.780,1243.350,1252.680
09-Jul-19,1387.90,1391.55,1113.510,1115.610,1239.390,1241.540
08-Jul-19,1404.90,1400.10,1121.110,1119.380,1251.200,1248.190
05-Jul-19,1414.40,1388.65,1126.430,1110.920,1255.990,1237.700
04-Jul-19,1415.25,1414.90,1125.410,1125.550,1254.190,1254.590
03-Jul-19,1425.10,1413.50,1133.520,1123.310,1262.780,1251.650
02-Jul-19,1393.10,1391.05,1105.010,1101.020,1233.590,1231.770
01-Jul-19,1390.05,1390.10,1099.810,1099.990,1227.410,1227.740
28-Jun-19,1413.20,1409.00,1114.870,1108.180,1241.070,1237.810
27-Jun-19,1402.25,1402.50,1103.710,1105.870,1233.140,1234.760
26-Jun-19,1406.75,1403.95,1109.220,1106.730,1238.500,1236.320
25-Jun-19,1429.55,1431.40,1120.620,1124.360,1255.720,1256.200
24-Jun-19,1405.45,1405.70,1102.580,1105.300,1233.560,1235.050
21-Jun-19,1388.35,1397.15,1095.960,1101.930,1228.550,1233.120
20-Jun-19,1381.65,1379.50,1086.250,1087.740,1222.900,1221.270
19-Jun-19,1342.40,1344.05,1066.670,1066.640,1198.360,1199.430
18-Jun-19,1344.55,1341.35,1073.220,1070.670,1201.890,1198.090
17-Jun-19,1333.20,1341.30,1059.490,1065.130,1188.810,1193.090
14-Jun-19,1352.45,1351.25,1069.790,1070.330,1200.030,1201.800
13-Jun-19,1335.80,1335.90,1054.210,1052.690,1182.850,1184.810
12-Jun-19,1336.65,1332.35,1049.270,1045.760,1179.990,1177.260
11-Jun-19,1322.65,1324.30,1040.530,1041.300,1168.960,1170.420
10-Jun-19,1328.60,1328.60,1046.940,1048.660,1175.410,1175.940
07-Jun-19,1334.30,1340.65,1049.160,1052.140,1184.190,1184.600
06-Jun-19,1336.65,1335.50,1053.150,1051.170,1189.620,1185.920
05-Jun-19,1337.75,1335.05,1052.010,1049.220,1185.380,1184.990
04-Jun-19,1323.60,1324.25,1045.510,1043.770,1177.470,1177.260
03-Jun-19,1313.95,1317.10,1039.470,1042.350,1175.990,1175.380
31-May-19,1296.00,1295.55,1029.280,1028.800,1162.120,1161.070
30-May-19,1276.45,1280.95,1010.440,1015.920,1146.250,1151.700
29-May-19,1283.50,1281.65,1016.020,1013.270,1151.040,1150.670
28-May-19,1283.90,1278.30,1012.870,1008.200,1146.910,1142.290
24-May-19,1281.50,1282.50,1011.360,1011.890,1145.920,1145.400
23-May-19,1275.95,1283.65,1009.790,1015.370,1146.190,1152.460
22-May-19,1274.00,1273.80,1005.440,1008.090,1141.120,1141.200
21-May-19,1276.00,1271.15,1004.850,998.620,1144.190,1139.840
20-May-19,1275.25,1276.85,1000.050,1003.220,1142.620,1143.420
17-May-19,1285.80,1280.80,1007.550,1005.170,1152.080,1146.700
16-May-19,1295.55,1291.70,1009.620,1009.460,1155.760,1154.780
15-May-19,1298.90,1299.10,1005.870,1011.870,1158.750,1161.530
14-May-19,1297.60,1298.40,1002.140,1005.480,1154.340,1158.040
13-May-19,1282.95,1295.60,985.950,994.890,1142.470,1151.270
10-May-19,1285.40,1287.10,987.830,987.460,1144.010,1144.360
09-May-19,1284.10,1286.10,987.470,989.650,1147.210,1144.500
08-May-19,1287.75,1285.20,987.830,988.190,1149.700,1147.680
07-May-19,1281.30,1281.20,978.790,981.010,1144.200,1145.260
03-May-19,1270.05,1278.55,976.800,980.010,1138.470,1144.300
02-May-19,1271.45,1270.95,973.550,975.580,1134.390,1136.100
01-May-19,1281.80,1283.80,980.450,981.470,1140.800,1141.940
30-Apr-19,1285.15,1282.30,989.440,983.780,1145.970,1142.790
29-Apr-19,1282.15,1279.50,991.100,991.100,1148.550,1147.200
26-Apr-19,1281.50,1284.20,992.780,993.970,1150.020,1151.160
25-Apr-19,1277.85,1280.80,991.870,992.360,1146.870,1149.650
24-Apr-19,1273.80,1271.65,984.900,982.480,1135.340,1136.350
23-Apr-19,1273.45,1269.50,979.670,979.670,1131.460,1132.520
18-Apr-19,1276.50,1275.70,981.120,980.120,1134.170,1134.220
17-Apr-19,1276.10,1275.85,978.770,978.190,1127.820,1128.740
16-Apr-19,1283.75,1276.35,981.300,977.170,1137.400,1129.830
15-Apr-19,1286.75,1285.65,982.430,981.210,1137.230,1137.410
12-Apr-19,1296.15,1294.30,991.680,986.900,1146.060,1143.640
11-Apr-19,1304.65,1298.80,997.010,993.190,1156.440,1152.430
10-Apr-19,1304.80,1305.45,998.040,999.060,1157.230,1161.070
09-Apr-19,1301.85,1303.00,995.130,997.710,1155.000,1155.240
08-Apr-19,1297.10,1300.00,993.580,996.450,1154.290,1153.490
05-Apr-19,1288.90,1288.45,985.110,989.530,1147.510,1148.010
04-Apr-19,1291.60,1283.15,981.870,978.660,1149.780,1144.180
03-Apr-19,1291.85,1290.45,980.380,981.260,1148.840,1147.980
02-Apr-19,1287.20,1290.30,984.970,988.370,1148.950,1151.590
01-Apr-19,1291.90,1293.50,987.270,986.680,1149.150,1152.250
29-Mar-19,1291.15,1295.40,991.090,996.680,1151.190,1153.810
28-Mar-19,1306.90,1295.15,995.200,989.110,1161.180,1152.680
27-Mar-19,1318.25,1309.70,997.780,992.490,1168.230,1164.450
26-Mar-19,1315.25,1316.30,993.150,994.730,1162.020,1165.190
25-Mar-19,1319.35,1319.55,1001.390,999.430,1166.040,1165.820
22-Mar-19,1311.10,1311.30,998.800,995.280,1159.410,1162.990
21-Mar-19,1317.30,1309.60,1002.990,998.700,1155.800,1151.790
20-Mar-19,1303.00,1303.70,985.070,987.940,1147.810,1147.780
19-Mar-19,1308.35,1307.70,985.060,986.010,1152.530,1152.080
18-Mar-19,1305.35,1305.60,986.190,986.250,1150.010,1150.890
15-Mar-19,1302.65,1303.50,981.550,982.060,1150.500,1150.080
14-Mar-19,1299.20,1295.55,982.840,977.490,1148.880,1146.430
13-Mar-19,1308.40,1306.95,994.250,991.580,1158.200,1156.130
12-Mar-19,1296.95,1297.05,986.850,987.960,1150.780,1150.740
11-Mar-19,1296.35,1292.75,998.320,988.570,1153.490,1150.030
08-Mar-19,1294.10,1296.75,989.340,992.790,1153.950,1154.370
07-Mar-19,1286.40,1285.30,978.180,981.200,1137.050,1144.170
06-Mar-19,1285.55,1285.85,978.820,977.250,1137.450,1136.820
05-Mar-19,1285.00,1283.80,975.190,977.610,1134.780,1134.490
04-Mar-19,1287.45,1285.40,972.930,974.330,1135.140,1135.010
01-Mar-19,1309.95,1311.95,989.270,988.030,1152.230,1150.450
28-Feb-19,1325.45,1319.15,996.210,991.870,1162.820,1158.740
27-Feb-19,1326.45,1322.85,998.020,992.800,1164.090,1162.390
26-Feb-19,1327.55,1325.05,1005.490,1005.980,1168.110,1167.240
25-Feb-19,1329.15,1331.05,1016.800,1018.790,1170.320,1172.390
22-Feb-19,1322.25,1329.05,1016.150,1020.710,1166.490,1172.490
21-Feb-19,1335.05,1331.25,1021.850,1019.870,1177.780,1173.630
20-Feb-19,1345.75,1343.75,1032.860,1031.460,1186.820,1185.050
19-Feb-19,1329.55,1334.15,1028.810,1027.030,1175.720,1178.590
18-Feb-19,1323.95,1325.50,1025.130,1025.140,1169.580,1170.810
15-Feb-19,1318.00,1316.55,1027.640,1027.170,1168.280,1168.170
14-Feb-19,1305.65,1311.45,1017.490,1025.820,1158.500,1161.290
13-Feb-19,1311.15,1312.80,1017.450,1017.160,1158.790,1161.700
12-Feb-19,1311.60,1310.00,1021.210,1016.560,1163.000,1160.010
11-Feb-19,1306.75,1306.40,1012.860,1014.810,1156.210,1157.080
08-Feb-19,1311.10,1314.85,1012.040,1016.250,1156.650,1159.700
07-Feb-19,1306.60,1310.00,1012.880,1009.490,1152.550,1154.110
06-Feb-19,1313.35,1312.40,1013.510,1012.120,1152.860,1152.940
05-Feb-19,1314.00,1314.20,1009.150,1013.910,1150.670,1151.370
04-Feb-19,1311.00,1312.15,1004.360,1004.450,1145.550,1147.870
01-Feb-19,1320.75,1318.70,1010.900,1008.540,1151.560,1150.830
31-Jan-19,1322.50,1323.25,1006.950,1009.380,1152.160,1152.680
30-Jan-19,1312.95,1310.70,1002.040,1002.550,1148.440,1148.300
29-Jan-19,1308.35,1307.55,994.480,992.560,1143.240,1144.370
28-Jan-19,1301.00,1302.15,987.980,988.590,1139.810,1139.510
25-Jan-19,1282.95,1293.90,981.330,985.560,1132.080,1137.080
24-Jan-19,1279.75,1283.70,981.700,983.570,1128.360,1128.120
23-Jan-19,1284.90,1279.80,990.140,979.940,1131.740,1125.840
22-Jan-19,1284.75,1282.10,994.140,991.960,1130.580,1129.020
21-Jan-19,1278.70,1279.55,995.080,994.080,1124.110,1125.750
18-Jan-19,1285.05,1284.20,993.340,994.740,1126.860,1128.940
17-Jan-19,1294.00,1290.70,1004.920,999.390,1135.870,1133.490
16-Jan-19,1290.50,1292.30,1002.460,1002.950,1130.990,1133.860
15-Jan-19,1289.35,1294.40,1002.990,1008.600,1127.670,1130.530
14-Jan-19,1293.70,1292.75,1007.020,1006.150,1129.270,1127.410
11-Jan-19,1292.80,1288.95,1012.910,1007.570,1121.890,1123.960
10-Jan-19,1292.40,1291.90,1012.980,1012.460,1121.540,1120.850
09-Jan-19,1281.30,1288.60,1006.460,1007.940,1118.320,1118.120
08-Jan-19,1283.90,1286.45,1006.710,1010.380,1121.620,1124.360
07-Jan-19,1291.50,1292.20,1013.830,1011.280,1129.030,1126.930
04-Jan-19,1290.35,1279.90,1016.800,1013.420,1131.510,1127.340
03-Jan-19,1287.95,1290.45,1024.050,1024.490,1132.620,1132.240
02-Jan-19,1287.20,1282.90,1014.440,1017.340,1125.270,1129.210
